y_true,y_pred,residual
0.001086,0.0010080103333333335,7.798966666666641e-05
0.001129,0.0010789726666666653,5.002733333333469e-05
0.001121,0.0010793673333333342,4.163266666666588e-05
0.00107,0.000995888333333333,7.411166666666693e-05
0.001115,0.0010755399999999994,3.946000000000071e-05
0.001107,0.0010599096666666665,4.709033333333344e-05
0.001054,0.0009958619999999993,5.8138000000000764e-05
0.0011,0.0010484156666666655,5.1584333333334594e-05
0.001094,0.0010456766666666665,4.832333333333345e-05
0.00104,0.000998864999999999,4.1135000000000954e-05
0.001086,0.0010313959999999995,5.4604000000000414e-05
0.001082,0.0010435196666666651,3.848033333333492e-05
0.001025,0.0009696893333333324,5.5310666666667655e-05
0.001074,0.0010190426666666658,5.495733333333425e-05
0.001069,0.0010259146666666654,4.3085333333334674e-05
0.001014,0.0009698273333333328,4.4172666666667166e-05
0.001061,0.0010009619999999996,6.003800000000054e-05
0.001057,0.0010238689999999997,3.313100000000026e-05
0.001002,0.0009610006666666661,4.099933333333392e-05
0.001049,0.0009935913333333332,5.540866666666681e-05
0.001046,0.001014607333333334,3.139266666666598e-05
0.0009908,0.0009624553333333317,2.8344666666668293e-05
0.001037,0.0009973873333333336,3.961266666666638e-05
0.001035,0.001014029666666668,2.0970333333332003e-05
0.0009803,0.0009708286666666682,9.471333333331685e-06
0.001026,0.0010101883333333316,1.581166666666839e-05
0.001025,0.0010192186666666682,5.7813333333319155e-06
0.0009711,0.0009528463333333324,1.8253666666667593e-05
0.001015,0.000994178333333333,2.0821666666667044e-05
0.001016,0.0010027360000000008,1.326399999999916e-05
0.0009624,0.000937951999999995,2.4448000000004927e-05
0.001005,0.0009838799999999995,2.1120000000000557e-05
0.001008,0.000988919333333333,1.908066666666706e-05
0.0009551,0.0009305969999999969,2.4503000000003082e-05
0.0009961,0.000980245333333333,1.5854666666667008e-05
0.001,0.0009835510000000011,1.6448999999998893e-05
0.0009474,0.0009218219999999953,2.557800000000472e-05
0.0009876,0.0009687283333333337,1.8871666666666264e-05
0.0009923,0.0009716116666666638,2.0688333333336237e-05
0.0009397,0.0009111109999999972,2.85890000000028e-05
0.0009788,0.000957317999999999,2.1482000000000944e-05
0.000986,0.0009593269999999991,2.667300000000082e-05
0.000932,0.0009126039999999993,1.9396000000000734e-05
0.0009701,0.0009525976666666652,1.7502333333334753e-05
0.0009791,0.0009597843333333302,1.9315666666669677e-05
0.0009258,0.0009161773333333307,9.62266666666928e-06
0.000962,0.0009543666666666652,7.63333333333473e-06
0.0009715,0.0009630893333333327,8.410666666667328e-06
0.0009199,0.0009030849999999995,1.6815000000000428e-05
0.0009555,0.0009382889999999988,1.7211000000001133e-05
0.000965,0.0009488343333333329,1.6165666666667134e-05
0.0009141,0.0009006086666666666,1.3491333333333399e-05
0.0009493,0.0009328373333333327,1.6462666666667365e-05
0.0009587,0.0009452520000000007,1.3447999999999347e-05
0.0009086,0.0009000893333333339,8.510666666666084e-06
0.0009427,0.0009354406666666676,7.259333333332419e-06
0.0009526,0.0009461949999999991,6.405000000000885e-06
0.0009019,0.000895394999999998,6.505000000001917e-06
0.0009367,0.0009282333333333329,8.466666666667017e-06
0.0009477,0.0009408249999999997,6.875000000000262e-06
0.0008972,0.0008922743333333345,4.925666666665473e-06
0.0009313,0.0009251753333333361,6.124666666663969e-06
0.0009429,0.0009388350000000001,4.064999999999928e-06
0.0008938,0.0008882019999999985,5.598000000001514e-06
0.0009257,0.0009196950000000008,6.004999999999249e-06
0.0009387,0.000935294666666669,3.4053333333310424e-06
0.0008895,0.0008867246666666669,2.775333333333049e-06
0.0009208,0.0009165609999999984,4.239000000001692e-06
0.0009367,0.0009325216666666646,4.178333333335299e-06
0.0008854,0.000882197333333331,3.202666666669027e-06
0.0009166,0.0009104633333333326,6.13666666666741e-06
0.000933,0.0009291496666666697,3.850333333330351e-06
0.000882,0.000876751000000001,5.248999999998946e-06
0.0009124,0.0009049913333333318,7.4086666666681395e-06
0.0009307,0.0009234089999999987,7.2910000000012826e-06
0.0008778,0.0008729303333333347,4.869666666665242e-06
0.0009091,0.0009022259999999994,6.87400000000068e-06
0.0009264,0.0009204269999999975,5.973000000002431e-06
0.0008756,0.000874082666666669,1.5173333333310226e-06
0.0009061,0.0009034226666666686,2.6773333333313977e-06
0.0009226,0.0009215236666666645,1.076333333335463e-06
0.0008736,0.000870431000000003,3.1689999999969876e-06
0.0009027,0.0008987633333333361,3.936666666663887e-06
0.0009201,0.0009182263333333303,1.8736666666696773e-06
0.0008708,0.0008725083333333346,-1.708333333334572e-06
0.0008991,0.0009005920000000006,-1.4920000000006152e-06
0.0009194,0.0009191833333333334,2.1666666666657255e-07
0.000869,0.0008686120000000016,3.879999999984113e-07
0.0008966,0.0008947550000000023,1.8449999999977165e-06
0.0009171,0.0009148929999999984,2.207000000001573e-06
0.0008672,0.0008670026666666673,1.9733333333279025e-07
0.0008938,0.0008916040000000005,2.195999999999557e-06
0.0009153,0.000912343666666666,2.9563333333339475e-06
0.0008657,0.0008662403333333371,-5.403333333371067e-07
0.0008909,0.000889696333333332,1.2036666666680185e-06
0.000912,0.0009107070000000025,1.2929999999975903e-06
0.0008661,0.0008648993333333351,1.200666666664827e-06
0.000889,0.0008879419999999986,1.0580000000014796e-06
0.0009102,0.0009086150000000017,1.5849999999982848e-06
